ARC_TAG, ARC_NAME ,ARC YEAR,PROVINCE,CONGRESSIONAL DISTRICT,MUNICIPALITY,BARANGAY,BARANGAY CLASSIFICATION
1004-007, Cabalantian-ARTCABAL ,1996,Misamis Oriental,2nd,Manticao,Balintad,ARC Barangay
1004-008, Don Pedro-Patag-Tagbalogo (DPPT) ,1996,Misamis Oriental,2nd,Naawan,Don Pedro,ARC Barangay
1004-008, Don Pedro-Patag-Tagbalogo (DPPT) ,1996,Misamis Oriental,2nd,Naawan,Patag,ARC Barangay
1004-008, Don Pedro-Patag-Tagbalogo (DPPT) ,1996,Misamis Oriental,2nd,Naawan,Tagbalogo,ARC Barangay
1004-009, G. Pelaez-Ulab-Cogon ARC (GPUC) ,1996,Misamis Oriental,2nd,Gitagum,G. Pelaez (Lagutay),ARC Barangay
1004-009, G. Pelaez-Ulab-Cogon ARC (GPUC) ,1996,Misamis Oriental,2nd,Gitagum,Ulab,ARC Barangay
1004-009, G. Pelaez-Ulab-Cogon ARC (GPUC) ,1996,Misamis Oriental,2nd,Gitagum,Cogon,ARC Barangay
1004-010, KASAHI ,1996,Misamis Oriental,2nd,El Salvador City,Kalabaylabay,ARC Barangay
1004-010, KASAHI ,1996,Misamis Oriental,2nd,El Salvador City,Sambulawan,ARC Barangay
1004-010, KASAHI ,1996,Misamis Oriental,2nd,El Salvador City,Hinigdaan,ARC Barangay
1004-011, Linabu-BSJS ,1996,Misamis Oriental,1st,Balingasag,Linabu,ARC Barangay
1004-011, Linabu-BSJS ,1996,Misamis Oriental,1st,Balingasag,Blanco,ARC Barangay
1004-011, Linabu-BSJS ,1996,Misamis Oriental,1st,Balingasag,San Juan,ARC Barangay
1004-011, Linabu-BSJS ,1996,Misamis Oriental,1st,Balingasag,Samay,ARC Barangay
1004-012, Mambuaya ,1996,Misamis Oriental,1st,Cagayan de Oro City,Mambuaya,ARC Barangay
1004-013, Sibantang ,1996,Misamis Oriental,1st,Talisayan,Sibantang,ARC Barangay
1004-014, Sinalac ,1996,Misamis Oriental,2nd,Initao,Sinalac,ARC Barangay
1004-015, Sungay-Tula (STARC) ,1996,Misamis Oriental,2nd,Alubijid,Sungay,ARC Barangay
1004-015, Sungay-Tula (STARC) ,1996,Misamis Oriental,2nd,Alubijid,Tula,ARC Barangay
1004-016, Taglimao ,1996,Misamis Oriental,1st,Cagayan de Oro City,Taglimao,ARC Barangay
1004-017, Yungod-GSMM ,1996,Misamis Oriental,1st,Salay,Yungod,ARC Barangay
1004-017, Yungod-GSMM ,1996,Misamis Oriental,1st,Salay,Guinalaban,ARC Barangay
1004-017, Yungod-GSMM ,1996,Misamis Oriental,1st,Salay,Saray,ARC Barangay
1004-017, Yungod-GSMM ,1996,Misamis Oriental,1st,Salay,Membuli,ARC Barangay
1004-017, Yungod-GSMM ,1996,Misamis Oriental,1st,Salay,Matampa,ARC Barangay
1004-018, PALS ARC ,1997,Misamis Oriental,2nd,Laguindingan,Poblacion,ARC Barangay
1004-018, PALS ARC ,1997,Misamis Oriental,2nd,Laguindingan,Aromahon,ARC Barangay
1004-018, PALS ARC ,1997,Misamis Oriental,2nd,Laguindingan,Lapad,ARC Barangay
1004-018, PALS ARC ,1997,Misamis Oriental,2nd,Laguindingan,Sinai,ARC Barangay
1004-019, Umagos-BG ,1997,Misamis Oriental,1st,Lagonglong,Umagos,ARC Barangay
1004-019, Umagos-BG ,1997,Misamis Oriental,1st,Lagonglong,Banglay,ARC Barangay
1004-019, Umagos-BG ,1997,Misamis Oriental,1st,Lagonglong,Gaston,ARC Barangay
1004-020, Sta. Ana-Rosario (SANRO) ,1999,Misamis Oriental,2nd,Tagoloan,Sta. Ana,ARC Barangay
1004-020, Sta. Ana-Rosario (SANRO) ,1999,Misamis Oriental,2nd,Tagoloan,Rosario,ARC Barangay
1004-021, Dayawan-Kimaya (DKARC) ,2000,Misamis Oriental,2nd,Villanueva,Dayawan,ARC Barangay
1004-021, Dayawan-Kimaya (DKARC) ,2000,Misamis Oriental,2nd,Villanueva,Kimaya,ARC Barangay
1004-022, HAM ,2000,Misamis Oriental,2nd,Claveria,Hinaplanan,ARC Barangay
1004-022, HAM ,2000,Misamis Oriental,2nd,Claveria,Ane-i,ARC Barangay
1004-022, HAM ,2000,Misamis Oriental,2nd,Claveria,Madaguing,ARC Barangay
1004-023, Kimaya-Natubo (KNARC) ,2000,Misamis Oriental,2nd,Jasaan,Kimaya,ARC Barangay
1004-023, Kimaya-Natubo (KNARC) ,2000,Misamis Oriental,2nd,Jasaan,Natubo,ARC Barangay
1004-024, KKAMP ,2000,Misamis Oriental,1st,Sugbongcogon,Kaulayan,ARC Barangay
1004-024, KKAMP ,2000,Misamis Oriental,1st,Sugbongcogon,Kidampas,ARC Barangay
1004-024, KKAMP ,2000,Misamis Oriental,1st,Sugbongcogon,Ampianga,ARC Barangay
1004-024, KKAMP ,2000,Misamis Oriental,1st,Sugbongcogon,Mimbuahan,ARC Barangay
1004-024, KKAMP ,2000,Misamis Oriental,1st,Sugbongcogon,Poblacion,ARC Barangay
1004-025, LST ,2000,Misamis Oriental,2nd,Libertad,Lubluban,ARC Barangay
1004-025, LST ,2000,Misamis Oriental,2nd,Libertad,Sto. Niño,ARC Barangay
1004-025, LST ,2000,Misamis Oriental,2nd,Libertad,Tangcub,ARC Barangay
1004-026, Mat-i ,2000,Misamis Oriental,2nd,Claveria,Mat-i,ARC Barangay
1004-027, Medina ,2000,Misamis Oriental,1st,Medina,Dig-aguyan,ARC Barangay
1004-027, Medina ,2000,Misamis Oriental,1st,Medina,Mananum Bag-o,ARC Barangay
1004-027, Medina ,2000,Misamis Oriental,1st,Medina,Mananum Daan,ARC Barangay
1004-028, TST ,2000,Misamis Oriental,2nd,Alubijid,Talaba,ARC Barangay
1004-028, TST ,2000,Misamis Oriental,2nd,Alubijid,Sampatulog,ARC Barangay
1004-028, TST ,2000,Misamis Oriental,2nd,Alubijid,Tugasnon,ARC Barangay
1004-029, UPTA ,2000,Misamis Oriental,2nd,Lugait,Upper Talacogon,ARC Barangay
1004-029, UPTA ,2000,Misamis Oriental,2nd,Lugait,Aya-aya,ARC Barangay
1004-030, SIDARC ,2001,Misamis Oriental,2nd,Jasaan,San Antonio,ARC Barangay
1004-030, SIDARC ,2001,Misamis Oriental,2nd,Jasaan,IS Cruz,ARC Barangay
1004-030, SIDARC ,2001,Misamis Oriental,2nd,Jasaan,Danao,ARC Barangay
1004-031, TRLLS ,2001,Misamis Oriental,2nd,Claveria,Tamboboan,ARC Barangay
1004-031, TRLLS ,2001,Misamis Oriental,2nd,Claveria,Rizal,ARC Barangay
1004-031, TRLLS ,2001,Misamis Oriental,2nd,Claveria,Luna,ARC Barangay
1004-031, TRLLS ,2001,Misamis Oriental,2nd,Claveria,Lanise,ARC Barangay
1004-031, TRLLS ,2001,Misamis Oriental,2nd,Claveria,Sta. Cruz,ARC Barangay
1004-032, Binuangan ,2003,Misamis Oriental,1st,Binuangan,Kitambis,ARC Barangay
1004-032, Binuangan ,2003,Misamis Oriental,1st,Binuangan,Kitamban,ARC Barangay
1004-032, Binuangan ,2003,Misamis Oriental,1st,Binuangan,Mabini,ARC Barangay
1004-032, Binuangan ,2003,Misamis Oriental,1st,Binuangan,Nabataan,ARC Barangay
1004-032, Binuangan ,2003,Misamis Oriental,1st,Binuangan,Valdeconcha,ARC Barangay
1004-033, KAMADA ,2003,Misamis Oriental,1st,Balingoan,Kabangasan,ARC Barangay
1004-033, KAMADA ,2003,Misamis Oriental,1st,Balingoan,Mapua,ARC Barangay
1004-033, KAMADA ,2003,Misamis Oriental,1st,Balingoan,Dahilig,ARC Barangay
1004-034, KKSB ,2003,Misamis Oriental,1st,Kinoguitan,Kagumahan,ARC Barangay
1004-034, KKSB ,2003,Misamis Oriental,1st,Kinoguitan,Kalitian,ARC Barangay
1004-034, KKSB ,2003,Misamis Oriental,1st,Kinoguitan,Suarez,ARC Barangay
1004-034, KKSB ,2003,Misamis Oriental,1st,Kinoguitan,Beray,ARC Barangay
1004-035, LUM ARC ,2006,Misamis Oriental,2nd,Naawan,Lubilan,ARC Barangay
1004-035, LUM ARC ,2006,Misamis Oriental,2nd,Naawan,Mat-i    ,ARC Barangay
1004-036, BUILT-ALL ,2006,Misamis Oriental,1st,Salay,Bunal,ARC Barangay
1004-036, BUILT-ALL ,2006,Misamis Oriental,1st,Salay,Ili-ilihon,ARC Barangay
1004-036, BUILT-ALL ,2006,Misamis Oriental,1st,Salay,Tinagaan,ARC Barangay
1004-036, BUILT-ALL ,2006,Misamis Oriental,1st,Salay,Alipuaton,ARC Barangay
1004-036, BUILT-ALL ,2006,Misamis Oriental,1st,Salay,Looc,ARC Barangay
1004-037, Kibanban-Lantad SARC (KLARC) ,2007,Misamis Oriental,1st,Balingasag,Kibanban,ARC Barangay
1004-038, BACKKISMI ARC ,2007,Misamis Oriental,1st,Gingoog City,Binakalan,ARC Barangay
1004-038, BACKKISMI ARC ,2007,Misamis Oriental,1st,Gingoog City,Alagatan,ARC Barangay
1004-038, BACKKISMI ARC ,2007,Misamis Oriental,1st,Gingoog City,Capitulangan,ARC Barangay
1004-038, BACKKISMI ARC ,2007,Misamis Oriental,1st,Gingoog City,Kalagonoy,ARC Barangay
1004-038, BACKKISMI ARC ,2007,Misamis Oriental,1st,Gingoog City,Kipuntos,ARC Barangay
1004-038, BACKKISMI ARC ,2007,Misamis Oriental,1st,Gingoog City,San Miguel,ARC Barangay
1004-039, MINTAGUCAT ARC ,2008,Misamis Oriental,1st,Magsaysay,Mindulao,ARC Barangay
1004-039, MINTAGUCAT ARC ,2008,Misamis Oriental,1st,Magsaysay,Tama,ARC Barangay
1004-039, MINTAGUCAT ARC ,2008,Misamis Oriental,1st,Magsaysay,Gumabon,ARC Barangay
1004-039, MINTAGUCAT ARC ,2008,Misamis Oriental,1st,Magsaysay,Cabalawan,ARC Barangay
1004-039, MINTAGUCAT ARC ,2008,Misamis Oriental,1st,Magsaysay,Abunda,ARC Barangay
1004-039, MINTAGUCAT ARC ,2008,Misamis Oriental,1st,Magsaysay,Tinaan,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Berwar,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Punod,ARC Barangay
1005-001, BERPU ,2000,Lanao del Norte,2nd,Tangcal,Poblacion,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Poona Kapatagan,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Small Banisilon,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Big Banisilon,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Tangcal Proper,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Papan,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Bayabao,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Pilingkingan,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Somiorang,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Lindongan,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Small Miladok,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Big Miladok,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Linao,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Lamaosa,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Lincoan,ARC Barangay
1005-001, BERPU ,1993,Lanao del Norte,2nd,Tangcal,Bubong,ARC Barangay
1005-002, Digkilaan ,1993,Lanao del Norte,Lone,Iligan City,Digkilaan,ARC Barangay
1005-003, LUMPOB ,1993,Lanao del Norte,2nd,Magsaysay,Poblacion (Bago-A-Ingud),ARC Barangay
1005-003, LUMPOB ,1993,Lanao del Norte,2nd,Magsaysay,Lumbac,ARC Barangay
1005-003, LUMPOB ,1993,Lanao del Norte,2nd,Magsaysay,Daan Campo,ARC Barangay
1005-003, LUMPOB ,1993,Lanao del Norte,2nd,Magsaysay,Tombador,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Pinuyak,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,El Salvador,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Darumawang Ilaya,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Rebe,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Maranding,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Tenazas,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,San Manuel,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Cabasagan,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Magpatao,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,San Isidro Upper,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Lala Proper,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Raw-an,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Lanipao,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Simpak,ARC Barangay
1005-005, PIELSADAI ,1993,Lanao del Norte,2nd,Lala,Pendolonan,ARC Barangay
1005-006, POMAPU ,1993,Lanao del Norte,2nd,Munai,Poblacion,ARC Barangay
1005-006, POMAPU ,1993,Lanao del Norte,2nd,Munai,Matampay,ARC Barangay
1005-006, POMAPU ,1993,Lanao del Norte,2nd,Munai,Punong,ARC Barangay
1005-006, POMAPU ,1993,Lanao del Norte,2nd,Munai,Ramain,ARC Barangay
1005-006, POMAPU ,1993,Lanao del Norte,2nd,Munai,Tapurong,ARC Barangay
1005-007, ADALSAAL ,1994,Lanao del Norte,2nd,Balo-i,Sarip-Alawi,ARC Barangay
1005-007, ADALSAAL ,1994,Lanao del Norte,2nd,Balo-i,Adapun-Ali,ARC Barangay
1005-007, ADALSAAL ,1994,Lanao del Norte,2nd,Balo-i,Angayen,ARC Barangay
1005-007, ADALSAAL ,1994,Lanao del Norte,2nd,Balo-i,Lumbac,ARC Barangay
1005-007, ADALSAAL ,1994,Lanao del Norte,2nd,Balo-i,Basagad,ARC Barangay
1005-007, ADALSAAL ,1994,Lanao del Norte,2nd,Balo-i,Mama-anun,ARC Barangay
1005-008, Caniogan ,1994,Lanao del Norte,1st,Tubod,Caniogan,ARC Barangay
1005-008, Caniogan ,1994,Lanao del Norte,1st,Tubod,Candis,ARC Barangay
1005-008, Caniogan ,1994,Lanao del Norte,1st,Tubod,Barakanas,ARC Barangay
1005-009, Pugaan ,1994,Lanao del Norte,Lone,Iligan City,Pugaan,ARC Barangay
1005-010, SBS ,1994,Lanao del Norte,2nd,Kapatagan,Sn. Vicente,ARC Barangay
1005-010, SBS ,1994,Lanao del Norte,2nd,Kapatagan,Butadon,ARC Barangay
1005-010, SBS ,1994,Lanao del Norte,2nd,Kapatagan,Sta. Cruz,ARC Barangay
1005-011, BUGAS ,2002,Lanao del Norte,2nd,Sapad,Buriasan,ARC Barangay
1005-011, BUGAS ,2002,Lanao del Norte,2nd,Sapad,Gamal,ARC Barangay
1005-011, BUGAS ,2002,Lanao del Norte,2nd,Sapad,Lower Sapad,ARC Barangay
1005-012, CABAN ,2002,Lanao del Norte,2nd,Pantao-Ragat,Cabasagan,ARC Barangay
1005-012, CABAN ,2002,Lanao del Norte,2nd,Pantao-Ragat,Culubun,ARC Barangay
1005-012, CABAN ,2002,Lanao del Norte,2nd,Pantao-Ragat,Banday,ARC Barangay
1005-013, KBP ,2002,Lanao del Norte,1st,Tubod,Kakai-Renabor,ARC Barangay
1005-013, KBP ,2002,Lanao del Norte,1st,Tubod,Bulod,ARC Barangay
1005-013, KBP ,2002,Lanao del Norte,1st,Tubod,Pigcarangan,ARC Barangay
1005-014, MBS ,2002,Lanao del Norte,1st,Maigo,Maliwanag,ARC Barangay
1005-014, MBS ,2002,Lanao del Norte,1st,Maigo,Balagatasa,ARC Barangay
1005-014, MBS ,2002,Lanao del Norte,1st,Maigo,Segapod,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Rebucon,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Muntay,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Kulasihan,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,San Roque,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Palao,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Bubong,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Matampay,ARC Barangay
1005-015, KALAMBUAN ,2003,Lanao del Norte,1st,Kolambugan,Pantaon,ARC Barangay
1005-016, PALAMBU ,2003,Lanao del Norte,1st,Tubod,Palao,ARC Barangay
1005-016, PALAMBU ,2003,Lanao del Norte,1st,Tubod,Dalama,ARC Barangay
1005-016, PALAMBU ,2003,Lanao del Norte,1st,Tubod,Bualan,ARC Barangay
1005-017, RAKIM ,2003,Lanao del Norte,2nd,Sultan Naga Dimaporo,Ramain,ARC Barangay
1005-017, RAKIM ,2003,Lanao del Norte,2nd,Sultan Naga Dimaporo,Kirapan,ARC Barangay
1005-017, RAKIM ,2003,Lanao del Norte,2nd,Sultan Naga Dimaporo,Maguindanao,ARC Barangay
1005-018, KAMPP ,2005,Lanao del Norte,2nd,Nunungan,Katubuan,ARC Barangay
1005-018, KAMPP ,2005,Lanao del Norte,2nd,Nunungan,Abaga,ARC Barangay
1005-018, KAMPP ,2005,Lanao del Norte,2nd,Nunungan,Masibay,ARC Barangay
1005-018, KAMPP ,2005,Lanao del Norte,2nd,Nunungan,Paride,ARC Barangay
1005-018, KAMPP ,2005,Lanao del Norte,2nd,Nunungan,Panganapan,ARC Barangay
1005-019, DIMAPUKAN ,2005,Lanao del Norte,1st,Bacolod,Dimarao,ARC Barangay
1005-019, DIMAPUKAN ,2005,Lanao del Norte,1st,Bacolod,Mate,ARC Barangay
1005-019, DIMAPUKAN ,2005,Lanao del Norte,1st,Bacolod,Punod,ARC Barangay
1005-019, DIMAPUKAN ,2005,Lanao del Norte,1st,Bacolod,Kahayag,ARC Barangay
1005-019, DIMAPUKAN ,2005,Lanao del Norte,1st,Bacolod,Pagayawan,ARC Barangay
1005-020, MAKATIN-AO ,2005,Lanao del Norte,2nd,Baroy,Maliwanag,ARC Barangay
1005-020, MAKATIN-AO ,2005,Lanao del Norte,2nd,Baroy,Cabasagan,ARC Barangay
1005-020, MAKATIN-AO ,2005,Lanao del Norte,2nd,Baroy,Tinubdan,ARC Barangay
1005-020, MAKATIN-AO ,2005,Lanao del Norte,2nd,Baroy,Manan-ao,ARC Barangay
1005-021, SULTANATE ,2005,Lanao del Norte,2nd,Pantar,Punod,ARC Barangay
1005-021, SULTANATE ,2005,Lanao del Norte,2nd,Pantar,Poona-Punod,ARC Barangay
1005-021, SULTANATE ,2005,Lanao del Norte,2nd,Pantar,Lumba-Punod,ARC Barangay
1005-021, SULTANATE ,2005,Lanao del Norte,2nd,Pantar,Pantao-Ranao,ARC Barangay
1005-021, SULTANATE ,2005,Lanao del Norte,2nd,Pantar,Bowi,ARC Barangay
1005-022, BOTTLES ,2006,Lanao del Norte,2nd,Magsaysay,Baguiguicon,ARC Barangay
1005-022, BOTTLES ,2006,Lanao del Norte,2nd,Magsaysay,Olango,ARC Barangay
1005-022, BOTTLES ,2006,Lanao del Norte,2nd,Magsaysay,Tambacon,ARC Barangay
1005-022, BOTTLES ,2006,Lanao del Norte,2nd,Magsaysay,Lemoncret,ARC Barangay
1005-022, BOTTLES ,2006,Lanao del Norte,2nd,Magsaysay,Somiorang,ARC Barangay
1005-022, BOTTLES ,2006,Lanao del Norte,2nd,Magsaysay,Tipaan,ARC Barangay
1005-023, CPP ,2006,Lanao del Norte,2nd,Salvador,Camp 3,ARC Barangay
1005-023, CPP ,2006,Lanao del Norte,2nd,Salvador,Padianan,ARC Barangay
1005-023, CPP ,2006,Lanao del Norte,2nd,Salvador,Pagayawan,ARC Barangay
1005-024, LABAN-PTT ,2006,Lanao del Norte,1st,Kapatagan,La Libertad,ARC Barangay
1005-024, LABAN-PTT ,2006,Lanao del Norte,1st,Kapatagan,Bansarvil,ARC Barangay
1005-024, LABAN-PTT ,2006,Lanao del Norte,1st,Kapatagan,Pulang Yuta,ARC Barangay
1005-024, LABAN-PTT ,2006,Lanao del Norte,1st,Kapatagan,Tulatulahan,ARC Barangay
1005-024, LABAN-PTT ,2006,Lanao del Norte,1st,Kapatagan,Tipolo,ARC Barangay
1005-025, SCARLITS SARC ,2007,Lanao del Norte,1st,Kolambugan,Sto. Niño,ARC Barangay
1005-025, SCARLITS SARC ,2007,Lanao del Norte,1st,Kolambugan,Caromatan,ARC Barangay
1005-025, SCARLITS SARC ,2007,Lanao del Norte,1st,Kolambugan,Lumbac,ARC Barangay
1005-025, SCARLITS SARC ,2007,Lanao del Norte,1st,Kolambugan,Inudaran,ARC Barangay
1005-025, SCARLITS SARC ,2007,Lanao del Norte,1st,Kolambugan,Titunod,ARC Barangay
1005-025, SCARLITS SARC ,2007,Lanao del Norte,1st,Kolambugan,Sucodan,ARC Barangay
1005-026, PSP ,2008,Lanao del Norte,2nd,Matungao,Pangi,ARC Barangay
1005-026, PSP ,2008,Lanao del Norte,2nd,Matungao,Sta. Cruz,ARC Barangay
1005-026, PSP ,2008,Lanao del Norte,2nd,Matungao,Pasayanon,ARC Barangay
1005-027, AMANA ,2008,Lanao del Norte,2nd,Balo-i,Abaga,ARC Barangay
1005-027, AMANA ,2008,Lanao del Norte,2nd,Balo-i,Maria-Cristina,ARC Barangay
1005-027, AMANA ,2008,Lanao del Norte,2nd,Balo-i,Nangka,ARC Barangay
1005-028, REBAND ,2008,Lanao del Norte,2nd,Sultan Naga Dimaporo,Rebucon,ARC Barangay
1005-028, REBAND ,2008,Lanao del Norte,2nd,Sultan Naga Dimaporo,Bangco,ARC Barangay
1005-028, REBAND ,2008,Lanao del Norte,2nd,Sultan Naga Dimaporo,Dalama,ARC Barangay
